楼盘名称,平米数,总价,单价
新街口西里三区 低楼层南向 满五唯一精装修,56.25平米,730,"129,778元/平"
邱家胡同小区 全南两居室 光线充足,59.5平米,798,"134,118元/平"
二环内未来家园精装修三居室，户型方正采光充足,163.36平米,1499,"91,761元/平"
羊肉胡同120号院 低楼层南北三居室 诚意出售,81.8平米,1120,"136,920元/平"
优质！月坛三里河东路7号院，中间层,63.3平米,769,"121,485元/平"
物资部大院 南北通透 精装 两居室,61.1平米,830,"135,843元/平"
白云桥天宁寺，正规一居低总 价，满五唯一，有钥匙。,44.56平米,410,"92,011元/平"
西直门外大街国家京剧院宿舍南北通透精装修一居室,40.7平米,470,"115,480元/平"
西城广外远见名苑，精装自住拎包入住。,48.61平米,469,"96,483元/平"
三义东里 朝南1居室 视野开阔 采光好 精装修 交通便利,38.99平米,455,"116,697元/平"
满五年唯一 中楼层 精装修  南向一居 无遮挡,39.3平米,630,"160,306元/平"
陶然亭 黑窑厂西里 南北两居 加固面积 无遮挡,49.43平米,692,"139,996元/平"
满五年唯一 东南日照时间长 高层视野好,89.58平米,1320,"147,355元/平"
二环内，南北通透精装两居，低楼层，满五唯一,57.68平米,635,"110,091元/平"
安定门安德路 花园里南北大三居 独院管理 楼道干净,151.59平米,2200,"145,129元/平"
红莲晴园 2室1厅 西南,74.14平米,776,"104,667元/平"
清芷园 东向两居 户型方正 观小区花园,90.09平米,1125,"124,876元/平"
天宁寺东里 2室1厅 南 北,57.36平米,480,"83,683元/平"
电梯房采光贼好 双卧朝南精装修直接入住 满五年唯一,58.9平米,855,"145,162元/平"
荣丰2008南向复式，满五唯一，屋内阳光充足，业主诚售,35.35平米,528.8,"149,590元/平"
政泰家园 西城区 2004年小区 落地窗,75.8平米,520,"68,602元/平"
鸭子桥北里 西北一居 98年钢混 诚心出售,49.52平米,429,"86,632元/平"
新上！西直门南大街 社科院央产房 独立小区 近地铁,82.9平米,1098,"132,449元/平"
过五年无二套 好楼位好楼层好采光 随时签约随时看房,64.05平米,710,"110,851元/平"
西城区-丽泽2008年茗筑小区满五唯一中间楼层,99.19平米,810,"81,662元/平"
南礼士路二条2号院精装修一居 房龄新带车位,82.52平米,979,"118,638元/平"
月坛北街南北2居，精装中间楼层,53.3平米,726,"136,211元/平"
大区总监主推房源新明胡同电梯三居室观景漂亮停车方便,79.8平米,1080,"135,339元/平"
西城月坛北街    月坛北街   两居室,49.4平米,760,"153,847元/平"
德外马甸裕中西里 明厨明卫三居室 高层视野好,89.3平米,1230,"137,738元/平"
锦官苑10号楼客厅看花园视野好，精装修，诚心出售,182.68平米,2980,"163,127元/平"
小区中间不临街，前后花园，前后没遮挡,135.93平米,1650,"121,387元/平"
闹中取静 正规三室一客厅 采光好 满五年唯一住房,79.8平米,1020,"127,820元/平"
广外南街50号院 西南三居 诚心出售 央产房,116.04平米,1150,"99,104元/平"
新安中里 2004年板楼 南北通透 一梯两户 高层采光好,117.13平米,1310,"111,842元/平"
